nama_kabupaten,kode_kecamatan,nama_kecamatan,kode_kelurahan,nama_kelurahan,produksi_padi,satuan,tahun
KARAWANG,321501,Karawang Barat,3215011001,KARAWANG KULON,0,TON,2021
KARAWANG,321501,Karawang Barat,3215011003,ADIARSA BARAT,213,TON,2021
KARAWANG,321501,Karawang Barat,3215011005,TANJUNGPURA,14,TON,2021
KARAWANG,321501,Karawang Barat,3215011006,TANJUNGMEKAR,15,TON,2021
KARAWANG,321501,Karawang Barat,3215011007,TUNGGAKJATI,"4,729",TON,2021
KARAWANG,321501,Karawang Barat,3215011010,KARANGPAWITAN,"5,850",TON,2021
KARAWANG,321501,Karawang Barat,3215011011,NAGASARI,"2,016",TON,2021
KARAWANG,321501,Karawang Barat,3215011012,MEKARJATI,"8,037",TON,2021
KARAWANG,321501,Karawang Barat,3215011001,KARAWANG KULON,,TON,2021
KARAWANG,321501,Karawang Barat,3215011003,ADIARSA BARAT,,TON,2021
KARAWANG,321501,Karawang Barat,3215011005,TANJUNGPURA,214,TON,2021
KARAWANG,321501,Karawang Barat,3215011006,TANJUNGMEKAR,673,TON,2021
KARAWANG,321501,Karawang Barat,3215011007,TUNGGAKJATI,,TON,2021
KARAWANG,321501,Karawang Barat,3215011006,TANJUNGMEKAR,673,TON,2021
KARAWANG,321501,Karawang Barat,3215011003,ADIARSA BARAT,4213,TON,2021
